Defector, Alternator, Random, Tit For Tat, Cooperator
1596, 2195, 2162, 2254, 2833
1624, 2183, 2163, 2255, 2812
1640, 2095, 2254, 2267, 2758
1580, 2129, 2216, 2268, 2815
1620, 2120, 2205, 2263, 2818
1560, 2129, 2231, 2267, 2791
1560, 2140, 2233, 2250, 2764
1600, 2120, 2215, 2281, 2830
1628, 2116, 2181, 2236, 2812
1596, 2112, 2242, 2284, 2806
1560, 2133, 2202, 2232, 2803
1612, 2187, 2160, 2247, 2800
1576, 2164, 2226, 2275, 2782
1556, 2119, 2219, 2266, 2809
1592, 2131, 2216, 2265, 2809
1624, 2162, 2207, 2264, 2788
1608, 2176, 2163, 2249, 2806
1656, 2138, 2156, 2235, 2818
1572, 2164, 2166, 2229, 2797
1612, 2164, 2194, 2258, 2806
1628, 2092, 2206, 2245, 2797
1588, 2160, 2187, 2252, 2803
1616, 2135, 2209, 2260, 2794
1588, 2149, 2179, 2250, 2833
1624, 2129, 2216, 2267, 2797
1604, 2136, 2192, 2248, 2815
1576, 2179, 2166, 2233, 2809
1592, 2148, 2197, 2254, 2809
1620, 2126, 2203, 2241, 2782
1568, 2133, 2208, 2270, 2833
1636, 2156, 2164, 2235, 2818
1568, 2157, 2196, 2240, 2782
1616, 2116, 2205, 2261, 2818
1600, 2156, 2186, 2269, 2812
1604, 2147, 2174, 2264, 2845
1580, 2132, 2215, 2266, 2803
1588, 2121, 2251, 2252, 2746
1600, 2162, 2208, 2251, 2776
1616, 2150, 2189, 2242, 2797
1588, 2105, 2215, 2262, 2836
1584, 2186, 2193, 2277, 2812
1572, 2113, 2220, 2266, 2815
1520, 2143, 2209, 2226, 2776
1628, 2189, 2173, 2252, 2800
1612, 2108, 2192, 2237, 2806
1628, 2149, 2221, 2271, 2779
1564, 2086, 2217, 2273, 2830
1616, 2138, 2196, 2253, 2800
1608, 2165, 2226, 2277, 2782
1604, 2154, 2210, 2263, 2800
