Defector,Alternator,Random,Tit For Tat,Cooperator
2.0,2.69875,2.70375,2.805,3.52625
2.01,2.76375,2.71,2.79375,3.4625
2.04,2.6525,2.7325,2.82,3.53375
1.985,2.655,2.77875,2.825,3.49625
2.065,2.665,2.77125,2.82875,3.47
1.95,2.7,2.7425,2.8175,3.5075
1.93,2.66875,2.7975,2.8325,3.47375
1.975,2.70375,2.73375,2.83375,3.54125
1.995,2.715,2.7875,2.855,3.4925
1.935,2.65125,2.8025,2.815,3.44
1.995,2.70125,2.735,2.81125,3.50375
1.98,2.70125,2.745,2.82,3.5075
1.97,2.715,2.73125,2.79875,3.4925
1.95,2.6375,2.76625,2.81625,3.52625
1.955,2.6725,2.7375,2.83125,3.54875
2.005,2.65625,2.76875,2.82625,3.5075
1.965,2.75,2.68,2.7925,3.54875
2.06,2.72375,2.6725,2.81875,3.5525
1.94,2.63375,2.8525,2.84625,3.44
2.0,2.70125,2.725,2.795,3.4925
2.01,2.7,2.73875,2.82375,3.5
1.99,2.6625,2.79625,2.80125,3.425
1.99,2.68125,2.76375,2.8275,3.50375
2.015,2.67375,2.72875,2.8025,3.5075
1.95,2.74375,2.7625,2.82125,3.455
2.005,2.66125,2.79375,2.8475,3.48125
1.94,2.70875,2.7,2.80125,3.545
2.015,2.67625,2.73875,2.8025,3.49625
2.0,2.6925,2.73,2.82125,3.53
2.035,2.68875,2.72875,2.7975,3.4775
2.04,2.675,2.78125,2.85875,3.515
1.96,2.67375,2.7125,2.77875,3.5075
1.99,2.6825,2.7225,2.8025,3.51125
2.01,2.69125,2.75,2.82375,3.48875
2.03,2.67625,2.7325,2.82125,3.51875
2.03,2.70375,2.77,2.84875,3.48875
1.99,2.73875,2.69,2.7625,3.48125
2.03,2.6325,2.76625,2.79625,3.45875
1.935,2.69,2.77125,2.8075,3.4775
1.985,2.685,2.72875,2.8075,3.515
1.975,2.69375,2.805,2.81375,3.4175
1.955,2.67375,2.7625,2.8325,3.515
2.03,2.68,2.75375,2.80375,3.46625
1.96,2.6475,2.7975,2.8375,3.485
1.975,2.71375,2.75125,2.80375,3.46625
1.955,2.665,2.7325,2.79,3.51125
2.005,2.70625,2.7225,2.81,3.49625
2.01,2.7075,2.70625,2.7825,3.5075
2.06,2.68,2.7175,2.785,3.48125
2.05,2.6675,2.7225,2.82,3.53
