Mind Bender,Mind Controller,Mind Reader,Mind Warper,Protected Mind Reader,Geller Cooperator,Darwin,Geller,Geller Defector
4.9925,3.625,3.625,3.625,3.625,1.495625,1.125,0.955625,0.435625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
4.995,3.625,3.625,3.625,3.625,1.375625,1.125,1.125,0.750625
