Defector, Alternator, Random, Tit For Tat, Cooperator
1592, 2151, 2196, 2263, 2806
1580, 2180, 2196, 2259, 2788
1624, 2190, 2152, 2232, 2812
1628, 2183, 2167, 2244, 2788
1568, 2135, 2204, 2248, 2809
1616, 2168, 2179, 2233, 2773
1588, 2144, 2221, 2256, 2779
1608, 2126, 2204, 2262, 2824
1572, 2156, 2208, 2245, 2776
1664, 2144, 2183, 2257, 2809
1572, 2160, 2216, 2272, 2803
1620, 2096, 2170, 2236, 2839
1572, 2158, 2187, 2237, 2791
1608, 2158, 2192, 2235, 2782
1592, 2174, 2181, 2252, 2809
1592, 2172, 2186, 2244, 2794
1556, 2137, 2173, 2250, 2836
1592, 2178, 2176, 2247, 2815
1612, 2127, 2214, 2238, 2758
1588, 2147, 2199, 2242, 2788
1580, 2146, 2206, 2259, 2812
1664, 2159, 2172, 2254, 2806
1620, 2127, 2198, 2235, 2782
1576, 2133, 2222, 2291, 2833
1636, 2134, 2192, 2264, 2809
1576, 2135, 2225, 2254, 2776
1644, 2083, 2203, 2260, 2827
1608, 2163, 2204, 2250, 2794
1588, 2168, 2179, 2240, 2794
1596, 2181, 2144, 2219, 2809
1552, 2130, 2195, 2245, 2809
1640, 2114, 2197, 2232, 2767
1592, 2096, 2206, 2227, 2782
1588, 2138, 2188, 2247, 2821
1584, 2136, 2188, 2248, 2806
1616, 2133, 2208, 2269, 2806
1560, 2183, 2228, 2291, 2800
1612, 2173, 2218, 2278, 2791
1596, 2171, 2190, 2258, 2791
1636, 2170, 2212, 2254, 2758
1564, 2184, 2198, 2270, 2806
1636, 2127, 2189, 2261, 2821
1636, 2140, 2244, 2282, 2767
1564, 2150, 2209, 2251, 2785
1608, 2162, 2207, 2242, 2776
1636, 2188, 2188, 2268, 2782
1628, 2128, 2162, 2234, 2818
1580, 2166, 2218, 2248, 2770
1632, 2175, 2146, 2246, 2824
1612, 2186, 2216, 2251, 2743
