Mind Bender, Mind Controller, Mind Reader, Mind Warper, Protected Mind Reader, Geller, Geller Cooperator, Geller Defector
12, 2200, 2200, 2200, 2200, 6107, 5199, 6897
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
8, 2600, 2600, 2600, 2600, 3400, 5399, 6399
