Grudger, Limited Retaliate (0.08/20), Retaliate (0.08), Limited Retaliate (0.1/25), Limited Retaliate (0.1/20), Retaliate (0.12), Retaliate (0.1), Forgetful Grudger, Forgiver, Appeaser, Inverse Punisher, Punisher, Two Tits For Tat, Once Bitten, Tit For Tat, Forgiving Tit For Tat, Grumpy, Go By Majority/5, Go By Majority/20, Go By Majority/10, Go By Majority/40, Inverse, Tit For 2 Tats, Go By Majority, Average Copier, e, Pi, Alternator, Golden, Cooperator, Arrogant QLearner, Cautious QLearner, Risky QLearner, Hesitant QLearner, Anti Tit For Tat, Opposite Grudger, Tricky Defector, Random, Tricky Cooperator, Defector
14551, 14229, 14572, 15094, 15050, 14743, 14735, 15527, 14994, 15267, 15669, 15650, 16171, 16449, 17292, 16980, 17583, 17711, 18109, 18173, 18155, 17867, 18006, 18177, 18446, 19451, 19861, 20073, 20278, 20505, 21581, 21567, 21977, 21713, 21802, 21851, 21979, 22469, 22550, 24376
14264, 14213, 14416, 15070, 15067, 15236, 14951, 14877, 15321, 15781, 15888, 16017, 16204, 16490, 17301, 17362, 17517, 17660, 18155, 18214, 18131, 17919, 18011, 18311, 19786, 19492, 19851, 19997, 20251, 20487, 21712, 21506, 22004, 21856, 21845, 21859, 22016, 21259, 22353, 24436
14028, 14248, 14558, 14642, 15026, 15226, 14759, 15130, 14965, 15290, 15540, 15611, 16165, 16490, 17276, 16960, 17610, 17680, 17633, 17748, 17768, 18238, 18011, 17726, 18259, 19499, 19841, 20086, 20319, 20508, 21804, 21665, 21707, 21544, 21880, 21719, 21769, 22643, 22507, 24432
14152, 14743, 14208, 14601, 15048, 14766, 15029, 14890, 15073, 15316, 15656, 16313, 16585, 16442, 16920, 16968, 17595, 17681, 17715, 18150, 17714, 18222, 18002, 17718, 18868, 19503, 19878, 20111, 20279, 20541, 22080, 21538, 21882, 22011, 21800, 21680, 21782, 21837, 22571, 24472
14525, 14673, 14450, 14701, 14703, 15190, 14638, 15154, 15016, 15328, 15540, 15649, 16555, 16512, 16902, 16986, 17568, 17260, 17675, 17749, 17737, 18228, 17988, 18304, 18062, 19464, 19814, 20090, 20228, 20454, 21523, 21853, 21754, 21707, 21815, 21653, 21817, 21488, 22485, 24392
14100, 14443, 14920, 14972, 14794, 14698, 15011, 15296, 15249, 15584, 15213, 16048, 16227, 16461, 16884, 17328, 17409, 17276, 17667, 18184, 17683, 18080, 18023, 17830, 18226, 19471, 19879, 20140, 20293, 20448, 21935, 21739, 21660, 22085, 21817, 21674, 21934, 22721, 22492, 24412
14635, 14348, 14668, 15062, 15087, 14850, 14642, 14776, 15411, 15891, 15277, 15637, 16563, 16436, 16876, 16958, 17568, 17265, 18103, 17748, 17753, 17648, 18029, 17854, 18449, 19449, 19843, 20054, 20245, 20493, 21702, 21369, 21560, 21648, 21838, 21676, 21822, 22148, 22555, 24468
14539, 14116, 14654, 14719, 14693, 15106, 15098, 15113, 15393, 15259, 15391, 16057, 16236, 16427, 17278, 16962, 17550, 17290, 18083, 17750, 18059, 17887, 18023, 18054, 19327, 19455, 19826, 20049, 20192, 20505, 21706, 21636, 22226, 21808, 21803, 21848, 21798, 22935, 22464, 24380
14653, 14299, 14770, 15083, 14616, 14822, 15064, 14788, 15938, 15310, 15651, 15662, 16190, 16443, 16893, 16957, 17478, 17280, 17729, 17744, 17782, 18471, 18006, 18186, 18092, 19522, 19828, 20067, 20266, 20571, 21936, 22073, 21326, 21923, 21818, 21641, 22010, 21964, 22519, 24452
14561, 14247, 14789, 14713, 15074, 15180, 14646, 14546, 14960, 15372, 15446, 15673, 16183, 16486, 17294, 16970, 17541, 17659, 18114, 17754, 18150, 17895, 17994, 17878, 17138, 19479, 19778, 20060, 20191, 20499, 21531, 21651, 21418, 21458, 21795, 21884, 21923, 21530, 22562, 24388
14693, 14555, 14171, 14671, 14605, 15199, 15074, 15119, 15055, 15506, 14996, 16055, 16591, 16526, 16897, 17364, 17580, 17674, 18166, 17765, 18138, 18036, 18041, 17707, 18945, 19427, 19778, 20049, 20229, 20505, 21611, 21779, 21932, 22476, 21847, 21842, 22045, 22672, 22547, 24396
14252, 14494, 14316, 15199, 14670, 14754, 15091, 14797, 15297, 15334, 15345, 15614, 16574, 16385, 17306, 17360, 17363, 17651, 17704, 18127, 18159, 18295, 18052, 18118, 19608, 19518, 19807, 20070, 20225, 20547, 21480, 21629, 21566, 21742, 21836, 21919, 21766, 22254, 22541, 24424
14667, 14440, 14718, 15088, 15075, 15148, 14738, 14658, 15551, 15057, 15287, 15674, 16218, 16484, 16901, 17351, 17583, 17252, 18078, 18150, 18102, 17916, 18029, 17844, 18966, 19509, 19781, 20133, 20274, 20511, 22000, 21844, 21512, 22382, 21814, 21895, 21805, 21332, 22510, 24460
14218, 14467, 14490, 15105, 15129, 14809, 14674, 15083, 15623, 15226, 15119, 15660, 16175, 16481, 17275, 17371, 17544, 17692, 17726, 17746, 18184, 18031, 18062, 18344, 20127, 19458, 19785, 20073, 20237, 20532, 21599, 22072, 21394, 22145, 21802, 21668, 21898, 21857, 22501, 24428
14625, 14261, 14290, 15153, 15113, 15165, 14639, 15015, 15694, 15282, 15885, 16048, 16597, 16482, 17291, 16951, 17598, 17676, 18103, 18131, 17725, 17928, 18044, 18308, 20554, 19421, 19839, 19995, 20201, 20526, 21101, 21668, 22042, 22496, 21809, 21929, 21779, 21640, 22497, 24444
14250, 14809, 14873, 14704, 14702, 14886, 15120, 15325, 14995, 15311, 15596, 15626, 16173, 16462, 17296, 17387, 17601, 17642, 18093, 17756, 18095, 17916, 18001, 18289, 18560, 19494, 19799, 20049, 20259, 20463, 21461, 21505, 21692, 21665, 21810, 21781, 22017, 21459, 22502, 24380
14687, 14437, 14487, 14670, 15147, 15141, 15018, 14577, 15138, 15186, 15546, 15990, 16590, 16478, 17275, 16976, 17565, 17636, 17734, 17744, 18089, 18340, 18003, 18344, 18619, 19507, 19904, 20082, 20302, 20514, 22277, 21639, 21619, 22037, 21745, 21889, 21955, 21479, 22527, 24512
